НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
"Журнал для бухгалтера ""Главная книга""";https://vk.com/glavkniga;75042784;323;5536;0.79%
Эксель и гугл-таблицы  | Ольга Пивикова;https://vk.com/pivikova_excel;212152136;319;13214;0.78%
«Чёрная Бухгалтерия»;https://vk.com/blachbuh;189251818;318;4365;0.78%
Госконтракт — закупки по 44-ФЗ и 223-ФЗ;https://vk.com/goscontract_info;139628705;317;16218;0.78%
1С Программирование;https://vk.com/1cprogramming;131876993;308;12218;0.75%
ТРУДОВЫЕ СПОРЫ-ТРУДОВОЙ КОДЕКС-АДВОКАТ-ЮРИСТ;https://vk.com/yuristmoskvaadvokat;22807385;289;22799;0.71%
ИНТЕРЕСНАЯ ЮРИСПРУДЕНЦИЯ;https://vk.com/interes_law;194676290;274;39022;0.67%
Бухгалтерия 1С;https://vk.com/fresh1c;170663357;272;13478;0.67%
"Курс ""Сам себе Программист 1С""";https://vk.com/kursy_po_1c;211691124;272;1606;0.67%
Юридические Тонкости;https://vk.com/sivakovairina;173671070;268;31030;0.66%
Типичный бухгалтер;https://vk.com/typicalaccountant;56263360;266;5757;0.65%
Большой портал для малого бизнеса;https://vk.com/https_business_ru;179668800;261;13328;0.64%
Валентина Вердт|Академия финансов и бухгалтерии;https://vk.com/valentina_verdt;211025196;259;10090;0.63%
Алёна Бухгалтер Самозанятость;https://vk.com/alenabuh_2022;211014799;257;14078;0.63%
Effecom | Онлайн-образование;https://vk.com/effecom;198376571;255;1436;0.62%
Бухгалтерия Налоги Бизнес (о сложном - просто);https://vk.com/grossnews;50383755;248;11204;0.61%
Бухгалтер, финансовый дир, внедрение Битрикс24;https://vk.com/buh.bpk.expert;61246010;242;4066;0.59%
Эвотор — для малого бизнеса;https://vk.com/evotor;119302043;230;22798;0.56%
Самозанятые.рф;https://vk.com/selfworkru;180830288;222;13863;0.54%
MS Excel: секреты профессионалов;https://vk.com/excel_subex;155269947;216;13368;0.53%
Адвокатская газета;https://vk.com/advgazeta;28792120;214;40122;0.52%
Школа финансового анализа и учета;https://vk.com/fin_analiz_uchet;163807687;201;2915;0.49%
"Центр диетологии ""Здоровое питание""";https://vk.com/dietmironova;171409641;199;35321;0.49%
Цифровая платформа МСП.РФ;https://vk.com/mspdgtl;210560481;198;11691;0.48%
Анастасия Акулёнок – умная бухгалтерия;https://vk.com/smartbuhgalter;211408643;192;1506;0.47%
Суды по ЖКХ;https://vk.com/sud_po_odn;166386118;191;20651;0.47%
Из 1С в 1 клик;https://vk.com/iz_1c;182055197;191;1833;0.47%
Простые рецепты daniya_alt;https://vk.com/daniya_alt;211289810;188;46964;0.46%
Академия Йоги | Курс подготовки преподавателей;https://vk.com/yogaacademya;199659871;186;48331;0.45%
Эльвира Митюкова — в помощь бухгалтеру;https://vk.com/sbaconsult;19391769;183;5352;0.45%
Академия Eduson;https://vk.com/eduson_academy;201850172;183;10161;0.45%
ПП из 3-5 ингредиентов - рецепты для похудения;https://vk.com/pp_iz_3;218063183;182;43307;0.44%
Помощь в Excel;https://vk.com/officeguru;67930095;178;15241;0.44%
Минстрой России;https://vk.com/minstroyrfofficial;97639426;177;46705;0.43%
Консультации адвокатов, юристов бесплатно онлайн;https://vk.com/academy_advokat;46732810;175;49310;0.43%
ЛесЕГАИС помощь;https://vk.com/lesegais_help;201294411;175;5072;0.43%
Пилатес от Маргариты и Виталия;https://vk.com/margarita_vitaliy_pilates;212456993;174;40422;0.43%
Школа управления Сколково;https://vk.com/skolkovoschool;22768095;173;37153;0.42%
Рецепты с расчетом калорийности и БЖУ;https://vk.com/more_recipes;167058698;172;48395;0.42%
Академия «Мел» | умный фитнес;https://vk.com/melacademy;211321688;172;34406;0.42%
Самошвейка;https://vk.com/samoshvejka;143108226;171;48346;0.42%
Счетная палата Российской Федерации;https://vk.com/auditgov;121455397;169;26355;0.41%
Путешествие по России | Фото России;https://vk.com/peyzazh;160715362;169;40034;0.41%
Пучков К.В., хирург, д.м.н., профессор;https://vk.com/puchkovkv;211238423;169;39332;0.41%
Проверкам НЕТ;https://vk.com/proverkamnet;173159238;167;2511;0.41%
Юристы;https://vk.com/law_agent;60272793;165;25027;0.40%
Dellmark fashion - дизайнерская женская одежда;https://vk.com/dellmark;210934311;165;40969;0.40%
Работа Самозанятым | Employ 24;https://vk.com/employ24;213265487;165;11304;0.40%
Федеральная палата адвокатов РФ;https://vk.com/fpa_rf;156458706;164;24700;0.40%
ЧЕК | Блог Яндекс Маркета для продавцов;https://vk.com/thecheck.media;207738372;162;19930;0.40%
