НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Идеи вашего дома;https://vk.com/homeideaz;32439535;2321;3685527;6.07%
Бизнес креатив | С успехом по жизни;https://vk.com/businessstrategy;30559917;2298;1747050;6.01%
ВКонтакте;https://vk.com/vk;22822305;2290;13393579;5.99%
ПСИХОТЕРАПИЯ / ПСИХОЛОГИЯ;https://vk.com/psygroup;8085055;2276;24863;5.95%
Удалено;https://vk.com/public_pzdc;50983923;2239;9946;5.86%
Великие Слова | Цитаты и Афоризмы;https://vk.com/velikieslova;23170931;2238;3390350;5.85%
НЕ ПОВЕРИШЬ!;https://vk.com/ne.poverish;28477986;2223;5819659;5.81%
Шедевры рекламы;https://vk.com/bestad;29302425;2215;2822022;5.79%
0% жирности;https://vk.com/zerofat;35486195;2196;3968514;5.74%
Мир Discovery;https://vk.com/dis;25117353;2192;2006994;5.73%
Психотерапия;https://vk.com/jokemindcure;38233726;2183;1027518;5.71%
E.squire;https://vk.com/ru.esquire;24098496;2154;2079839;5.63%
Слова Великих людей;https://vk.com/cvl_in;28981879;2137;2216824;5.59%
Бизнес Инфо;https://vk.com/probizportal;34168005;2134;1841440;5.58%
Интересные факты;https://vk.com/knows;36959676;2134;3661234;5.58%
Просто Вкусно;https://vk.com/prostovkusno_food;46117626;2132;3297836;5.58%
Эзотерика;https://vk.com/tut_me4ti;37911280;2112;2162659;5.52%
Smart Money | Бизнес журнал;https://vk.com/smart4you;34483558;2105;1919100;5.50%
Вокруг света;https://vk.com/krugom_svet;23164653;2101;3818084;5.49%
5 умных мыслей;https://vk.com/v5umm;24713873;2059;4965639;5.38%
Я хочу...;https://vk.com/i_want_love_dream;36008740;2040;4741674;5.33%
Startpamm.ru - простые инвестиции в ПАММ-счета;https://vk.com/startpamm;45502996;2011;18022;5.26%
Стерва;https://vk.com/only_bitches;41594691;1985;2107172;5.19%
Дневник женщин;https://vk.com/women.diary;32939817;1979;2596793;5.18%
5 интересных фактов;https://vk.com/v5inf;25346844;1975;4454749;5.16%
Психология о жизни;https://vk.com/successful_thoughts;31478728;1967;2169358;5.14%
Шедевры рукоделия;https://vk.com/h.made;43688579;1955;3846061;5.11%
По Фрейду;https://vk.com/pofreydu;24313746;1950;2351343;5.10%
Уютный декор для дома. Handmade и рукоделие;https://vk.com/soverwenstvo.decora;28587219;1948;1805689;5.09%
Лепра;https://vk.com/lepragram;30022666;1943;5089784;5.08%
КОМПОТ — Журнал со вкусом;https://vk.com/kompot;32615394;1935;2183132;5.06%
Книги;https://vk.com/free_audiobooks;73476;1920;2210211;5.02%
Секреты успеха великих людей;https://vk.com/top.secrets;23616160;1904;1611416;4.98%
Корпорация зла;https://vk.com/evilo;29246653;1893;7040823;4.95%
Фурнитура;https://vk.com/ab_furnitura;40872866;1882;7724;4.92%
Я люблю русский язык!;https://vk.com/love_russian_language;39321576;1869;1406384;4.89%
Красиво сказано . . .;https://vk.com/vk.krasota;26669118;1868;7059883;4.88%
Всегда говори Да | Мотивация и вдохновение;https://vk.com/m_yes;35143550;1856;1616811;4.85%
Психология | Эзотерика | Юмор;https://vk.com/sumasoshli;50106785;1846;815053;4.83%
BRAIN;https://vk.com/brain4you;48210134;1819;1801752;4.76%
Интересные события в Санкт-Петербурге;https://vk.com/blog_fiesta;26270763;1817;747454;4.75%
Психология Тишины;https://vk.com/psycho;41883468;1817;2097797;4.75%
90-60-90 | Спортивные девушки;https://vk.com/9o_6o_9o;39728801;1812;5763786;4.74%
Образовательный журнал со вкусом;https://vk.com/life2hack;36047336;1807;1094987;4.73%
Почему? Повышаем IQ;https://vk.com/pochemu;42307767;1793;2109840;4.69%
Хитрости жизни;https://vk.com/lifecheater;30953300;1790;2029956;4.68%
OXFORD Правильный стиль;https://vk.com/oxfordstyle;47417346;1785;8925;4.67%
Дзен;https://vk.com/dzenpub;23213239;1783;3110226;4.66%
Тыжпсихолог!;https://vk.com/u_psy;29585566;1777;135943;4.65%
EDM FOR YOU;https://vk.com/edmforyou;25713287;1776;82877;4.64%
Готовим дома: вкусно и просто;https://vk.com/vkucnie_recepti;40020627;1774;3764909;4.64%
Smart - умный журнал!;https://vk.com/be.smart;47679753;1772;3300873;4.63%
ADME;https://vk.com/adme;17655824;1767;1393959;4.62%
Сарказм;https://vk.com/s_arcazm;36164349;1765;5815884;4.62%
Правильные мысли;https://vk.com/shedevroom;35114569;1759;1947877;4.60%
ПСИХОЛОГИЧЕСКИЙ ЖУРНАЛ;https://vk.com/psychojournal;26587681;1748;519968;4.57%
Ideas & Decor;https://vk.com/ideasdecor;31963425;1740;1882892;4.55%
Омар Хайям и другие великие философы;https://vk.com/poet_omar;45588871;1730;4613265;4.52%
Maximus-Киев, Одесса, Харьков-Брачное Агентство;https://vk.com/maximus_agency;47416434;1729;15547;4.52%
Психология человека;https://vk.com/hum_psychology;52230489;1729;3248006;4.52%
Квартирный Вопрос;https://vk.com/flatme;42541008;1719;1968992;4.50%
Английский язык;https://vk.com/english_is_fun;36147615;1718;2391119;4.49%
Записки шеф-повара;https://vk.com/chief.cooker;48618580;1715;3589259;4.48%
Дизайн декор и интерьер;https://vk.com/designdecori;35059398;1711;1971408;4.47%
Записки Миллионера;https://vk.com/zapiski_m;29348258;1707;1100014;4.46%
Юмор Шрёдингера;https://vk.com/humor_schrodinger;58737741;1706;2470858;4.46%
Дневник успеха;https://vk.com/stayapple;28673372;1702;1564829;4.45%
Больше, чем фото;https://vk.com/foto.blog;27725748;1700;1933458;4.45%
Книги;https://vk.com/best_psalterium;31513532;1694;1576699;4.43%
Just Cook;https://vk.com/just__cook;32509740;1692;2443894;4.42%
Кулинария: вкусные рецепты 🍒;https://vk.com/bon_cook;42092461;1685;2241986;4.41%
О женском...;https://vk.com/womenvk;33382046;1676;1992331;4.38%
Наша жизнь;https://vk.com/nashazhi3n;48615685;1675;12815;4.38%
DMC project;https://vk.com/dmc_project;37627143;1666;9090;4.36%
