НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Ткани по 111 рублей - tkani.site;https://vk.com/tkani100rub;182471241;6864;150002;15.50%
Дом рукоделия. Handmade, дизайн и декор;https://vk.com/best.knitting;35822250;6761;1770435;15.27%
Простые выкройки и идеи. Шитье;https://vk.com/easy_sewing;82680072;6407;238172;14.47%
IVАHM /выкройки, мк/;https://vk.com/iva_hm;173621044;6407;51681;14.47%
Модное шитье;https://vk.com/trendy_sewing;141266386;6293;147781;14.21%
Я модельер • шитье;https://vk.com/my_modeler;138744915;6254;157147;14.12%
Создаем сумки.  Мастер-классы ТЫ Ж РУКОДЕЛЬНИЦА;https://vk.com/sumkishei;170926451;6242;65262;14.10%
ЗЛОЙ ПОРТНОЙ;https://vk.com/zloyportnoy;88838709;6215;29593;14.04%
Шитьё для всех;https://vk.com/shityo_vsem;157982280;6194;158332;13.99%
Ткани|Мастер-классы|Выкройки;https://vk.com/dressmaking_courses;129743456;6155;94537;13.90%
Идеи для творчества;https://vk.com/bymade;23532060;6073;825113;13.72%
Видеоуроки по шитью. Шитье и крой;https://vk.com/sewing_video;30014010;6037;125374;13.63%
Простые советы о шитье от Юли Балль;https://vk.com/kakposhit;36973724;5982;204303;13.51%
Мастерская чудес;https://vk.com/miraclesworkshop;40372592;5856;65457;13.23%
Моделирование одежды • Шитье;https://vk.com/clothes_sewing;120421213;5816;135131;13.13%
Идеи дизайна интерьера;https://vk.com/i_des;36184135;5782;6075698;13.06%
ШИТЬЕ И РУКОДЕЛИЕ;https://vk.com/vsedsr_2;64201461;5775;230194;13.04%
Шитьё своими руками;https://vk.com/shityorukami;159471340;5764;156289;13.02%
Столица рукоделия. Шитьё;https://vk.com/1rykodelie;73338106;5631;184436;12.72%
Ручки шьют | Выкройки, шитье;https://vk.com/hand.sewsew;191361488;5590;144137;12.62%
"Школа ""Хочу Шить""! Курсы кройки и шитья онлайн";https://vk.com/wanttosew;103541312;5577;177955;12.60%
Шитьё и крой;https://vk.com/shityoikroj;158054630;5484;137246;12.39%
Идеи для творчества и подарков своими руками;https://vk.com/i_d_t;31805219;5471;2658862;12.36%
SEW IT NOW Выкройки. Шитье. Стиль.;https://vk.com/sewitnow;202323995;5344;66903;12.07%
✩ Шитье ♡ Детям ✩ Рукоделие;https://vk.com/diy_baby;79143973;5223;161896;11.80%
Шьем нашим детям;https://vk.com/club134609223;134609223;5083;83782;11.48%
Кладовая Швейных Идей;https://vk.com/kladdovaya_shveinyh_idey;142451786;5074;44842;11.46%
Выкройки Elenapatternstudio — бутик выкроек;https://vk.com/elenapatternstudio;205431972;5024;62797;11.35%
Уютный декор для дома. Handmade и рукоделие;https://vk.com/soverwenstvo.decora;28587219;5018;1805666;11.33%
Шкатулка-МК;https://vk.com/materials_mk;163762273;4976;42942;11.24%
Шитье и Кройка - простые выкройки и идеи;https://vk.com/sew.easy;149552863;4932;150753;11.14%
Готовые бесплатные выкройки;https://vk.com/vikroykibesplatno;125579276;4920;67959;11.11%
Своими руками. Новинки;https://vk.com/srukakami;162413575;4909;2390373;11.09%
EASYSEW.INFO;https://vk.com/easysew_info;159904264;4886;50741;11.03%
Школа ремонта;https://vk.com/rem_shkola;38379853;4830;3610291;10.91%
Owlknitted - шью, творю, вытворяю;https://vk.com/owlknitted;205090424;4782;35034;10.80%
Я`ТКАНИ. Яркие ткани для Ярких идей!;https://vk.com/itkani;38484531;4766;143551;10.76%
Интерьер и декор;https://vk.com/vk_interior;90730773;4727;3517197;10.68%
Шить просто | выкройки | мастерклассы;https://vk.com/club66210925;66210925;4718;88016;10.66%
Шитье;https://vk.com/club113823142;113823142;4687;146628;10.59%
Современная хозяйка;https://vk.com/dressmaker;42930588;4508;271856;10.18%
Я`ТКАНИ ДЕТЯМ. Яркие ткани для Ярких детей!;https://vk.com/itkanideti;37806472;4487;65338;10.13%
Ярмарка Мастеров — Livemaster;https://vk.com/livemaster;28202415;4453;534289;10.06%
Готовые выкройки одежды | SewFreedom;https://vk.com/sewfreedom;202474845;4451;49144;10.05%
Cook Good - лучшие рецепты;https://vk.com/cook_good;39009769;4409;6537688;9.96%
Ткани. Метры Счастья для вашего творчества!;https://vk.com/happy_metr;184012385;4373;69214;9.88%
Лилия - Ткани оптом и в розницу;https://vk.com/tkanichelyabinsk74;133267110;4204;98251;9.49%
Фабрика идей;https://vk.com/hmideas;43772432;4172;3962007;9.42%
Переулок Швейный;https://vk.com/sew_lane;86679472;4159;47744;9.39%
Тканевичок;https://vk.com/tkanevichok44;198532228;4152;40852;9.38%
Выкройки Modapattern;https://vk.com/modapattern;185567773;4051;35666;9.15%
Шедевры рукоделия;https://vk.com/h.made;43688579;3892;3846115;8.79%
Рукодельница: шитьё + вязание;https://vk.com/volshebstvoryk;132774932;3862;44826;8.72%
Шить просто!;https://vk.com/sew_simple;56058321;3831;86808;8.65%
Вязаные идеи;https://vk.com/v.idea;52919650;3826;792875;8.64%
Ткани по оптовым ценам. ОптоТкани™;https://vk.com/optotkani;158752762;3818;73468;8.62%
Выкройки | Шитье | Творчество;https://vk.com/tanya_korenko;153204143;3778;33743;8.53%
Просто Вкусно;https://vk.com/prostovkusno_food;46117626;3766;3297769;8.51%
Основы кроя и шитья;https://vk.com/osnovykroyaishitya;49298671;3762;49641;8.50%
Шьем сумки своими руками. Выкройки Мастер-классы;https://vk.com/chicbag;79689983;3762;81531;8.50%
Идеи вашего дома;https://vk.com/homeideaz;32439535;3757;3685768;8.48%
ВЯЗАНИЕ;https://vk.com/knitting;5670814;3754;1023322;8.48%
Своими руками | Шитье;https://vk.com/you_sewing;101790918;3708;64212;8.37%
Как Просто • Рукоделие ✂ HandMade;https://vk.com/kakprosto_rus;56869593;3662;944458;8.27%
Владимир Закатов выкройки PDF шитьё;https://vk.com/zakatvladimir;211368366;3593;26652;8.11%
Шитье /Мастер-классы /Рукоделие /Handmade;https://vk.com/sistershm;117133862;3584;34228;8.09%
ДЕТСКИЕ СТИЛЬНЫЕ ВЫКРОЙКИ;https://vk.com/thestylishkids;125470299;3584;32050;8.09%
Рукоделие. Выкройки. Идеи;https://vk.com/rukodelie_vikroiki_idei;188072352;3517;45603;7.94%
Новая Музыка 2023 | Слово Пацана Саундтреки;https://vk.com/exclusive_muzic;27895931;3506;15710762;7.92%
Выкройки сумок Enfile;https://vk.com/enfile;196243959;3484;30496;7.87%
На все руки;https://vk.com/navseruki;171193480;3456;2480091;7.81%
ДЕТСКИЕ ПОДЕЛКИ;https://vk.com/det_podelki;85462593;3408;1442713;7.70%
Шитье ✂ БЕСПЛАТНЫЕ Выкройки! Рукоделие;https://vk.com/bespkroi;80254238;3394;44110;7.67%
Статус-Леко. Готовые лекала и выкройки;https://vk.com/lekostatus;12738349;3373;35036;7.62%
