НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ
Гастроэнтеролог Харитонов А.Г.;https://vk.com/kharitonov_ag;211539194;1210;21370;1.85%;май.66;;;
Портал Medvestnik.ru;https://vk.com/medicinskiyvestnik;37951196;1190;11705;1.82%;окт.17;;;
Образовательный Центр Фармамед.РФ;https://vk.com/obrfm;197331568;1186;8358;1.81%;14.19;;;
WETLAB | Центр хирургического образования;https://vk.com/wetlab;128779886;1172;14524;1.79%;08.июл;;;
Anatom-expert;https://vk.com/anatom_expert;200420549;1172;21817;1.79%;май.37;;;
MEDполочка | медполочка;https://vk.com/medpopolochkam;166855513;1145;10383;1.75%;11.мар;;;
Альфамедтренинг — курсы BLS, ALS, ITLS;https://vk.com/alfamedtraining;180683193;1137;20073;1.74%;май.66;;;
Анатомия в картинках;https://vk.com/anatomy_jpg;220088211;1134;10982;1.73%;окт.33;;;
Полина Шило | Врач-онколог;https://vk.com/medup_pro;182541436;1108;13339;1.69%;авг.31;;;
Аудиотека для медика [Медицина];https://vk.com/medaudiovk;157926911;1097;9381;1.68%;ноя.69;;;
Medicine: Оториноларингология;https://vk.com/medicinelor;73762354;1084;11143;1.66%;сен.73;;;
Онкологи;https://vk.com/oncology_1;185252675;1083;7249;1.66%;14.94;;;
Cancer Chameleon;https://vk.com/cancerchameleon;200697795;1083;12207;1.66%;авг.87;;;
Медицинский университет МУИР;https://vk.com/meduniversitet;173414478;1075;11668;1.64%;сен.21;;;
Главный Медицинский Канал;https://vk.com/glavmedtv;173392485;1045;12052;1.60%;авг.67;;;
ВРАЧ ПРЕВЕНТИВНОЙ МЕДИЦИНЫ| НУТРИЦИОЛОГ;https://vk.com/dr.anastasia_s;211205672;1040;8869;1.59%;ноя.73;;;
Нейробиология и когнитивистика;https://vk.com/neurocognitivistica;198541633;1033;27521;1.58%;мар.75;;;
Ординатура и аспирантура РНИМУ им.Н.И.Пирогова;https://vk.com/ordinaturarnimu;185658648;1027;11937;1.57%;авг.60;;;
Будни неотлоги. Блог о работе и жизни автора;https://vk.com/neotlogaspb;199097207;1009;13906;1.54%;июл.26;;;
Росздравнадзор;https://vk.com/roszdravnadzorru;184355205;998;16961;1.53%;май.88;;;
SurgiSecret | Хирургия, тренажеры, курсы;https://vk.com/surgisecret;211997975;989;8289;1.51%;ноя.93;;;
Союз Педиатров России, СПб отделение;https://vk.com/pediatriyaspb;88158828;978;10479;1.50%;сен.33;;;
Публичная медицина;https://vk.com/publicmedicine;146608044;978;14745;1.50%;июн.63;;;
Педиатрия и Неонатология;https://vk.com/pediatrics_rus;158911357;967;6000;1.48%;16.дек;;;
Лучевая диагностика сегодня;https://vk.com/yatomograf;40088535;963;7958;1.47%;12.окт;;;
Neutecom | Топическая неврология;https://vk.com/neutecom;94933906;954;14999;1.46%;июн.36;;;
Аудиомедик | Лекции по медицине;https://vk.com/medlektor;136882458;954;9255;1.46%;окт.31;;;
Radiology Study;https://vk.com/radiologystudy;63734658;951;14140;1.45%;июн.73;;;
Red+ Медицинская одежда;https://vk.com/redplus.store;203956119;936;16066;1.43%;май.83;;;
Терапевт, диетолог он-лайн;https://vk.com/terrapevt;171204903;933;11030;1.43%;авг.46;;;
СНО им. Н.И.Пирогова Сеченовского Университета;https://vk.com/sno1med;30748170;926;18608;1.42%;апр.98;;;
ВКачай медицину;https://vk.com/vkachaimedicinu;106049742;926;13139;1.42%;07.май;;;
Медицинская одежда MEDILION;https://vk.com/medilion;196406028;916;23577;1.40%;мар.89;;;
Биология ЕГЭ 2024 | Studarium;https://vk.com/studarium_bio;85601359;682;41488;9.73%;;;;
Биология;https://vk.com/biovk;37948240;665;585871;9.49%;;;;
Химия с Сашей Сильвер | SMITUP | ЕГЭ 2024;https://vk.com/him_smitup;217271320;568;3286;8.10%;;;;
Биология книги;https://vk.com/biologybooks;120203091;514;66360;7.33%;;;;
Химия – Просто;https://vk.com/chemistryeasyru;93343283;491;294258;7.00%;;;;
Химия: 10 класс | Степенин и Дацук;https://vk.com/stepenin10;186218843;473;38128;6.75%;;;;
Медицина, которую мы заслужили;https://vk.com/themedicine;149401625;430;513898;6.13%;;;;
Анатомия;https://vk.com/anatomyia;215631500;354;76403;5.05%;;;;
ЕГЭ ПО ХИМИИ НА МАКСИМУМ;https://vk.com/examtop;174910454;329;36419;4.69%;;;;
Медицина, сэр!;https://vk.com/pulsemedicine;158006400;287;261413;4.09%;;;;
