НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
585 Золотой;https://vk.com/my585zolotoy;39513007;2751;2575261;4.58%
Моя квартира;https://vk.com/moiakvartirka;137793489;2721;2237077;4.53%
Моя любимая дача;https://vk.com/club166491509;166491509;2718;1858768;4.52%
Медицинская Россия;https://vk.com/medrussia03;131908471;2638;79643;4.39%
Откровенно женский;https://vk.com/otkrovennoe18;35370899;2633;2916803;4.38%
Вкусные домашние рецепты;https://vk.com/gifrecepts;138816943;2618;2296701;4.36%
Анатомичка - крупнейший медицинский канал;https://vk.com/anatomiyavk;133726577;2588;2093561;4.31%
Госуслуги;https://vk.com/gosuslugi;73442711;2580;1481801;4.29%
Раневская.LIVE;https://vk.com/ranevskaya_live;145016612;2570;1926431;4.28%
Готовим дома: вкусно и просто;https://vk.com/vkucnie_recepti;40020627;2538;3765044;4.22%
Психология;https://vk.com/psyxov;55662720;2500;6214258;4.16%
Диетические рецепты;https://vk.com/dietsrecipes;34889014;2499;2245972;4.16%
Идеи вашего дома;https://vk.com/homeideaz;32439535;2480;3685725;4.13%
Полезные советы;https://vk.com/onesovet;174310051;2461;1932159;4.10%
Идеи для творчества и подарков своими руками;https://vk.com/i_d_t;31805219;2460;2658906;4.09%
Психология Души;https://vk.com/soul.psychology;54343520;2445;3053263;4.07%
Раневская.LIVE;https://vk.com/ranevskayalive;151053954;2425;1929360;4.04%
Модные Прически;https://vk.com/modnue.pricheski;150388347;2415;1868710;4.02%
Красиво сказано . . .;https://vk.com/vk.krasota;26669118;2401;7059953;4.00%
Библиотека медика;https://vk.com/medbookvk;152182194;2356;148695;3.92%
Палата №6;https://vk.com/pn6;56106344;2316;7845176;3.85%
Верую † Православие;https://vk.com/veruj;29599237;2314;2024501;3.85%
PostNews;https://vk.com/postnews;152992737;2256;2777135;3.75%
Фабрика идей;https://vk.com/hmideas;43772432;2229;3962009;3.71%
МЕДИЦИНА;https://vk.com/medrussia;49517102;2223;310535;3.70%
Доктор шутит;https://vk.com/club157730698;157730698;2161;79140;3.60%
Сама Женственность.Юмор.Вдохновение;https://vk.com/s_jenstvennost;67494496;2160;1801059;3.59%
Худей вкусно;https://vk.com/recipes40kg;35113021;2158;1858515;3.59%
Идеи своими руками;https://vk.com/dream_design_one;186234031;2152;1522172;3.58%
Быстрые рецепты;https://vk.com/bistrocook;165062392;2137;2223764;3.56%
YUMMY | ВКУСНЫЕ РЕЦЕПТЫ;https://vk.com/i.cook;48946342;2120;3966661;3.53%
Книги;https://vk.com/free_audiobooks;73476;2110;2210226;3.51%
Медицинские Истории;https://vk.com/medstory;28182343;2095;280296;3.49%
Полезные советы;https://vk.com/club174859206;174859206;2095;1990171;3.49%
Food.ru — Главная кухня страны;https://vk.com/foodrumedia;32194285;2093;3907021;3.48%
Ординаторская;https://vk.com/med_room;153220639;2079;246466;3.46%
Записки шеф-повара;https://vk.com/chief.cooker;48618580;2076;3589143;3.45%
Сарказм;https://vk.com/s_arcazm;36164349;2061;5815851;3.43%
Практическая психология;https://vk.com/psih_sovet;41538339;2058;2543146;3.42%
Моя квартира;https://vk.com/club193593968;193593968;2052;1354371;3.41%
Готовлю вкусно, кушаю с удовольствием!;https://vk.com/gotovlyuv;105697662;2046;1590617;3.40%
Госуслуги для родителей;https://vk.com/gosuslugiforparents;195855333;2029;1482516;3.38%
40 КГ;https://vk.com/40kg;28627911;2019;3154984;3.36%
Кулинария: вкусные рецепты 🍒;https://vk.com/bon_cook;42092461;2017;2242059;3.36%
Кулинарное искусство;https://vk.com/cooklove;47118092;2008;2965940;3.34%
Идеи для дачи;https://vk.com/aidacha;41002749;2007;2214736;3.34%
ВКонтакте;https://vk.com/vk;22822305;1976;13392557;3.29%
Отдых/ Аренда жилья без посредников в Крыму;https://vk.com/arenda___crimea;181670617;1976;1050890;3.29%
90-60-90 | Спортивные девушки;https://vk.com/9o_6o_9o;39728801;1969;5763942;3.28%
МАМА™;https://vk.com/love_mama;20249656;1964;2327265;3.27%
Грамотный доктор;https://vk.com/club171313443;171313443;1957;99052;3.26%
Женские Хитрости | Лайфхакерша;https://vk.com/womanruse;23245066;1955;4750591;3.25%
Читающие;https://vk.com/club42968101;42968101;1947;2583991;3.24%
Школа цветоводства. Наш дом всегда в цветах.;https://vk.com/floschool;47900340;1946;1138889;3.24%
ПРИКОЛЫ | Смеяка;https://vk.com/smeyaka;45441631;1941;11402854;3.23%
Ларису Ивановну Хачу!;https://vk.com/club183488070;183488070;1933;2970334;3.22%
ООО НПФ ВИНАР;https://vk.com/npf_vinar;210979450;1925;18641;3.20%
AliExpress;https://vk.com/aliexpress;36941068;1919;3778504;3.19%
Женские Хитрости;https://vk.com/womantrlck;166122107;1913;1485011;3.18%
Дом рукоделия. Handmade, дизайн и декор;https://vk.com/best.knitting;35822250;1912;1770416;3.18%
Дневник женщин;https://vk.com/women.diary;32939817;1891;2596905;3.15%
